IP,City,Region,Country,Latitude,Longitude
192.168.1.1,,,,,
8.8.8.8,Mountain View,California,US,37.4056,-122.0775
203.0.113.0,,,,,
1.1.1.1,Brisbane,Queensland,AU,-27.4820,153.0136
192.168.1.1,,,,,
8.8.8.8,Mountain View,California,US,37.4056,-122.0775
203.0.113.0,,,,,
1.1.1.1,Brisbane,Queensland,AU,-27.4820,153.0136
192.168.1.1,,,,,
8.8.8.8,Mountain View,California,US,37.4056,-122.0775
203.0.113.0,,,,,
1.1.1.1,Brisbane,Queensland,AU,-27.4820,153.0136
192.168.1.1,,,,,
8.8.8.8,Mountain View,California,US,37.4056,-122.0775
203.0.113.0,,,,,
1.1.1.1,Brisbane,Queensland,AU,-27.4820,153.0136
192.168.1.1,,,,,
8.8.8.8,Mountain View,California,US,37.4056,-122.0775
203.0.113.0,,,,,
1.1.1.1,Brisbane,Queensland,AU,-27.4820,153.0136
